BranchesFrom,Vessel,VesselType,VesselSubType,BodyPart,BodySubPart,PortalSystem,FTU,Sex,Anastomoses,ArteryVeinConnects,ArteryVeinPair,ForBranchesSee,VirtualVessel,BranchSequence,SpatialReferenceObjectFemale,SpatialReferenceObjectMale,CoordX,CoordY,ReferenceURL,Reference,ReferenceDOI,VesselTypeID,VesselSubTypeID,BodyPartID,BodySubPartID,FTULabel,FTUID,UBERON,FMA,UBERONLabel,FMALabel,ASLabel,ASID,OtherUberonFmaNameList,TerminologiaAnatomica,OtherVesselNameList,VesselBaseName,FullVesselNameList,HasBranches,VirtualVesselOfList,VirtualVesselOfCount,VirtualInstances,VirtualPath,PathFromHeart,PathFromHeartWithIDs
left ventricle,aorta,artery,,abdominal cavity;thoracic cavity,,,,,,,,,0,1,VH_F_aorta,VH_M_aorta,15,30,https://en.wikipedia.org/wiki/Aorta,https://en.wikipedia.org/wiki/Aorta,,UBERON:0001637,,UBERON:0003684;UBERON:0002224,,,,UBERON:0000947,fma3734,aorta,Aorta,aorta,UBERON:0000947,trunk of aortic tree;trunk of systemic arterial tree,Aorta,,aorta,aorta;trunk of aortic tree;trunk of systemic arterial tree,1,,0,1,,left ventricle;aorta,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947
aorta,ascending aorta,artery,,thoracic cavity,,,,,,,,,0,1,VH_F_ascending_aorta,VH_M_ascending_aorta,20,40,https://en.wikipedia.org/wiki/Ascending_aorta,https://en.wikipedia.org/wiki/Ascending_aorta,,UBERON:0001637,,UBERON:0002224,,,,UBERON:0001496,fma3736,ascending aorta,Ascending aorta,ascending aorta,UBERON:0001496,ascending thoracic aorta;pars ascendens aortae,Ascending aorta,,ascending aorta,ascending aorta;ascending thoracic aorta;pars ascendens aortae,1,,0,1,,left ventricle;aorta;ascending aorta,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496
ascending aorta,aortic arch,artery,,thoracic cavity,,,,,,,,,0,3,VH_F_aortic_arch,VH_M_aortic_arch,30,50,https://en.wikipedia.org/wiki/Aortic_arch,https://en.wikipedia.org/wiki/Aortic_arch,,UBERON:0001637,,UBERON:0002224,,,,UBERON:0001508,fma3768,arch of aorta,Arch of aorta,arch of aorta,UBERON:0001508,Aortic arch;arcus aortae,Aortic arch,,aortic arch,aortic arch;arch of aorta;arcus aortae,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508
aortic arch,brachiocephalic artery,artery,,thoracic cavity,,,,,,,brachiocephalic vein,,0,1,VH_F_brachiocephalic_artery_a,VH_M_brachiocephalic_artery,25,60,https://en.wikipedia.org/wiki/Brachiocephalic_artery,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,UBERON:0001637,,UBERON:0002224,,,,UBERON:0001529,fma3932,brachiocephalic artery,Brachiocephalic artery,brachiocephalic artery,UBERON:0001529,brachiocephalic trunk;innominate artery;truncus brachiocephalicus,,,brachiocephalic artery,brachiocephalic artery;brachiocephalic trunk;innominate artery;truncus brachiocephalicus,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;brachiocephalic artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;brachiocephalic artery;brachiocephalic artery;UBERON:0001529
brachiocephalic artery,right common carotid artery,artery,,neck,,,,,,,,common carotid artery,0,1,,,25,80,https://en.wikipedia.org/wiki/Common_carotid_artery,https://en.wikipedia.org/wiki/Common_carotid_artery,,UBERON:0001637,,UBERON:0000974,,,,UBERON:0001531,fma3941,right common carotid artery plus branches,Right common carotid artery,right common carotid artery plus branches,UBERON:0001531,trunk of right common carotid tree,Right common carotid artery,,right common carotid artery,right common carotid artery;right common carotid artery plus branches;trunk of right common carotid tree,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;brachiocephalic artery;right common carotid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;brachiocephalic artery;brachiocephalic artery;UBERON:0001529;right common carotid artery;right common carotid artery plus branches;UBERON:0001531
brachiocephalic artery,right subclavian artery,artery,,thoracic cavity,,,,,,,,subclavian artery,0,2,,,20,70,https://en.wikipedia.org/wiki/Subclavian_artery,https://en.wikipedia.org/wiki/Subclavian_artery,,UBERON:0001637,,UBERON:0002224,,,,UBERON:0001534,fma3953,right subclavian artery,Right subclavian artery,right subclavian artery,UBERON:0001534,arteria subclavia dextra,Right subclavian artery,,right subclavian artery,arteria subclavia dextra;right subclavian artery,1,,0,1,,left ventricle;aorta;ascending aorta;aortic arch;brachiocephalic artery;right subclavian artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;brachiocephalic artery;brachiocephalic artery;UBERON:0001529;right subclavian artery;right subclavian artery;UBERON:0001534
aortic arch,common carotid artery,artery,,neck,,,,,,,,,1,2,,,30,90,https://en.wikipedia.org/wiki/Common_carotid_artery,https://en.wikipedia.org/wiki/Common_carotid_artery,,UBERON:0001637,,UBERON:0000974,,,,UBERON:0001530,fma3939,common carotid artery plus branches,Common carotid artery,common carotid artery plus branches,UBERON:0001530,Carotid artery;carotid artery system;trunk of common carotid tree,Common carotid artery,,common carotid artery,Carotid artery;carotid artery system;common carotid artery;common carotid artery plus branches;trunk of common carotid tree,1,left common carotid artery;right common carotid artery,2,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530
common carotid artery,external carotid artery,artery,,neck,,,,,,,,,0,1,,,15,110,https://en.wikipedia.org/wiki/External_carotid_artery,https://en.wikipedia.org/wiki/External_carotid_artery,,UBERON:0001637,,UBERON:0000974,,,,UBERON:0001070,fma10635,external carotid artery,External carotid artery,external carotid artery,UBERON:0001070,external carotid,External carotid artery,,external carotid artery,external carotid;external carotid artery,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070
external carotid artery,ascending pharyngeal artery,artery,,neck,,,,,,,,,0,2,,,,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,UBERON:0001637,,UBERON:0000974,,,,,fma49497,,Ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,,Ascending pharyngeal artery,,ascending pharyngeal artery,ascending pharyngeal artery,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497
ascending pharyngeal artery,inferior tympanic artery,artery,,ear,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,UBERON:0001637,,UBERON:0001690,,,,,fma49506,,Inferior tympanic artery,Inferior tympanic artery,fma49506,Inferior tympanic branch of ascending pharyngeal artery,Inferior tympanic artery,,inferior tympanic artery,inferior tympanic artery;Inferior tympanic branch of ascending pharyngeal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;inferior tympanic artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;inferior tympanic artery;Inferior tympanic artery;fma49506
ascending pharyngeal artery,neuromeningeal trunk,artery,,head,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,UBERON:0001637,,UBERON:0000033,,,,,,,,,,,,,neuromeningeal trunk,neuromeningeal trunk,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;neuromeningeal trunk;;
neuromeningeal trunk,hypoglossal branch of ascending pharyngeal artery,artery,,head,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,UBERON:0001637,,UBERON:0000033,,,,,,,,,,,,,hypoglossal branch of ascending pharyngeal artery,hypoglossal branch of ascending pharyngeal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;hypoglossal branch of ascending pharyngeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;neuromeningeal trunk;;;hypoglossal branch of ascending pharyngeal artery;;
neuromeningeal trunk,jugular branch of ascending pharyngeal artery,artery,,head,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,UBERON:0001637,,UBERON:0000033,,,,,,,,,,,,,jugular branch of ascending pharyngeal artery,jugular branch of ascending pharyngeal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;jugular branch of ascending pharyngeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;neuromeningeal trunk;;;jugular branch of ascending pharyngeal artery;;
neuromeningeal trunk,odontoid arcade,artery,,head,,,,,vertebral artery,,,,0,999,,,,,https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/,https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/,,UBERON:0001637,,UBERON:0000033,,,,,,,,,,,,,odontoid arcade,odontoid arcade,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;odontoid arcade,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;neuromeningeal trunk;;;odontoid arcade;;
neuromeningeal trunk,posterior meningeal artery,artery,,head,,,,,,,,,0,999,,,,,http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/,http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/,,UBERON:0001637,,UBERON:0000033,,,,UBERON:0010249,fma49503,posterior meningeal artery,Posterior meningeal artery,posterior meningeal artery,UBERON:0010249,terminal branch of ascending pharyngeal artery,Posterior meningeal artery,,posterior meningeal artery,posterior meningeal artery;terminal branch of ascending pharyngeal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk;posterior meningeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;neuromeningeal trunk;;;posterior meningeal artery;posterior meningeal artery;UBERON:0010249
ascending pharyngeal artery,pharyngeal trunk,artery,,neck,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,UBERON:0001637,,UBERON:0000974,,,,,,,,,,,,,pharyngeal trunk,pharyngeal trunk,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;pharyngeal trunk;;
pharyngeal trunk,eustachian branch of ascending pharyngeal artery,artery,,neck,,,,,,,,,0,999,,,,,http://www.ajnr.org/content/23/7/1246,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,UBERON:0001637,,UBERON:0000974,,,,,,,,,,,,,eustachian branch of ascending pharyngeal artery,eustachian branch of ascending pharyngeal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;eustachian branch of ascending pharyngeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;pharyngeal trunk;;;eustachian branch of ascending pharyngeal artery;;
pharyngeal trunk,inferior pharyngeal artery,artery,,neck,,,,,,,,,0,999,,,,,http://www.ajnr.org/content/23/7/1246,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,UBERON:0001637,,UBERON:0000974,,,,,,,,,,,,,inferior pharyngeal artery,inferior pharyngeal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;pharyngeal trunk;inferior pharyngeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;external carotid artery;external carotid artery;UBERON:0001070;ascending pharyngeal artery;Ascending pharyngeal artery;fma49497;pharyngeal trunk;;;inferior pharyngeal artery;;
