BranchesFrom,Vessel,VesselType,VesselSubType,BodyPart,BodySubPart,PortalSystem,FTU,Sex,Anastomoses,ArteryVeinConnects,ArteryVeinPair,ForBranchesSee,VirtualVessel,BranchSequence,SpatialReferenceObjectFemale,SpatialReferenceObjectMale,CoordX,CoordY,ReferenceURL,Reference,ReferenceDOI,VesselTypeID,VesselSubTypeID,BodyPartID,BodySubPartID,FTULabel,FTUID,UBERON,FMA,UBERONLabel,FMALabel,ASLabel,ASID,OtherUberonFmaNameList,TerminologiaAnatomica,OtherVesselNameList,VesselBaseName,FullVesselNameList,HasBranches,VirtualVesselOfList,VirtualVesselOfCount,VirtualInstances,VirtualPath,PathFromHeart,PathFromHeartWithIDs
inferior hypophyseal artery,capillary plexus of posterior pituitary gland,capillary,fenestrated,pituitary gland,,,,,,hypophyseal vein,,,0,1,,,,,https://basicmedicalkey.com/endocrine-system-3/,https://basicmedicalkey.com/endocrine-system-3/,,UBERON:0001982,UBERON:2005260,UBERON:0000007,,,,,,,,,,,,,capillary plexus of posterior pituitary gland,capillary plexus of posterior pituitary gland,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;inferior hypophyseal artery;capillary plexus of posterior pituitary gland,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;inferior hypophyseal artery;inferior hypophysial artery;UBERON:0035492;capillary plexus of posterior pituitary gland;;
capillary plexus of posterior pituitary gland,short portal vessel of pituitary gland,vein,,pituitary gland,,hypophyseal portal system,,,,,,,0,1,,,,,https://basicmedicalkey.com/endocrine-system-3/,https://basicmedicalkey.com/endocrine-system-3/,,UBERON:0001638,,UBERON:0000007,,,,,fma0327576,,Hypophysial short portal vein,Hypophysial short portal vein,fma0327576,,,,short portal vessel of pituitary gland,Hypophysial short portal vein;short portal vessel of pituitary gland,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;inferior hypophyseal artery;capillary plexus of posterior pituitary gland;short portal vessel of pituitary gland,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;inferior hypophyseal artery;inferior hypophysial artery;UBERON:0035492;capillary plexus of posterior pituitary gland;;;short portal vessel of pituitary gland;Hypophysial short portal vein;fma0327576
short portal vessel of pituitary gland,secondary capillary plexus of anterior pituitary gland #2,capillary,continuous,pituitary gland,,hypophyseal portal system,,,,hypophyseal vein,,,0,1,,,,,https://basicmedicalkey.com/endocrine-system-3/,https://basicmedicalkey.com/endocrine-system-3/,,UBERON:0001982,UBERON:2005259,UBERON:0000007,,,,,,,,,,,,,secondary capillary plexus of anterior pituitary gland,secondary capillary plexus of anterior pituitary gland,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;inferior hypophyseal artery;capillary plexus of posterior pituitary gland;short portal vessel of pituitary gland;secondary capillary plexus of anterior pituitary gland #2,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;inferior hypophyseal artery;inferior hypophysial artery;UBERON:0035492;capillary plexus of posterior pituitary gland;;;short portal vessel of pituitary gland;Hypophysial short portal vein;fma0327576;secondary capillary plexus of anterior pituitary gland #2;;
internal carotid artery,middle cerebral artery,artery,,brain,,,,,,,,,0,7,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,UBERON:0001627,fma50079,middle cerebral artery,Middle cerebral artery,middle cerebral artery,UBERON:0001627,Sylvian artery,Middle cerebral artery,,middle cerebral artery,middle cerebral artery;Sylvian artery,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627
middle cerebral artery,anterior temporal artery,artery,,brain,,,,,,,,,0,11,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,UBERON:0035225,fma50382,anterior temporal artery,Anterior temporal artery,anterior temporal artery,UBERON:0035225,,,,anterior temporal artery,anterior temporal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;anterior temporal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;anterior temporal artery;anterior temporal artery;UBERON:0035225
middle cerebral artery,artery of central sulcus,artery,,brain,,,,,,,,,0,5,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,,fma77439,,Artery of central sulcus,Artery of central sulcus,fma77439,Central sulcus artery,,Rolandic artery,artery of central sulcus,artery of central sulcus;Central sulcus artery;Rolandic artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;artery of central sulcus,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;artery of central sulcus;Artery of central sulcus;fma77439
middle cerebral artery,artery of postcentral sulcus,artery,,brain,,,,,,,,,0,6,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,UBERON:0035462,fma50482,anterior parietal artery,Artery of postcentral sulcus,anterior parietal artery,UBERON:0035462,Postcentral sulcus artery,,,artery of postcentral sulcus,anterior parietal artery;artery of postcentral sulcus;Postcentral sulcus artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;artery of postcentral sulcus,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;artery of postcentral sulcus;anterior parietal artery;UBERON:0035462
middle cerebral artery,artery of precentral sulcus,artery,,brain,,,,,,,,,0,4,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,,fma50479,,Artery of precentral sulcus,Artery of precentral sulcus,fma50479,Precentral sulcus artery,,pre-Rolandic artery,artery of precentral sulcus,artery of precentral sulcus;pre-Rolandic artery;Precentral sulcus artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;artery of precentral sulcus,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;artery of precentral sulcus;Artery of precentral sulcus;fma50479
middle cerebral artery,artery to angular gyrus,artery,,brain,,,,,,,,,0,8,,,,,https://radiopaedia.org/articles/angular-artery-mcabranch,https://radiopaedia.org/articles/angular-artery-mcabranch,,UBERON:0001637,,UBERON:0000955,,,,,fma50475,,Branch of middle cerebral artery to angular gyrus,Branch of middle cerebral artery to angular gyrus,fma50475,,,,artery to angular gyrus,artery to angular gyrus;Branch of middle cerebral artery to angular gyrus,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;artery to angular gyrus,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;artery to angular gyrus;Branch of middle cerebral artery to angular gyrus;fma50475
middle cerebral artery,lenticulostriate artery,artery,,brain,,,,,,,,,0,1,,,,,https://radiopaedia.org/articles/lateral-lenticulostriate-arteries,https://radiopaedia.org/articles/lateral-lenticulostriate-arteries,,UBERON:0001637,,UBERON:0000955,,,,,fma71479,,Set of lenticulostriate arteries,Set of lenticulostriate arteries,fma71479,Lenticulostriate arteries;Lenticulostriate arteries set,Anterolateral central arteries,,lenticulostriate artery,Anterolateral central arteries;Lenticulostriate arteries;Lenticulostriate arteries set;lenticulostriate artery;Set of lenticulostriate arteries,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;lenticulostriate artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;lenticulostriate artery;Set of lenticulostriate arteries;fma71479
middle cerebral artery,middle temporal branch of middle cerebral artery,artery,,brain,,,,,,,,,0,10,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,,,,,,,,,,middle temporal branch of middle cerebral artery,middle temporal branch of middle cerebral artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;middle temporal branch of middle cerebral artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;middle temporal branch of middle cerebral artery;;
middle cerebral artery,orbitofrontal branch of middle cerebral artery,artery,,brain,,,,,,,,,0,2,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,,,,,,,,Orbitofrontal branches of middle cerebral artery,,orbitofrontal branch of middle cerebral artery,orbitofrontal branch of middle cerebral artery;Orbitofrontal branches of middle cerebral artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;orbitofrontal branch of middle cerebral artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;orbitofrontal branch of middle cerebral artery;;
middle cerebral artery,posterior parietal artery,artery,,brain,,,,,,,,,0,7,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,UBERON:0035222,fma50488,posterior parietal artery,Posterior parietal artery,posterior parietal artery,UBERON:0035222,,,,posterior parietal artery,posterior parietal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;posterior parietal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;posterior parietal artery;posterior parietal artery;UBERON:0035222
middle cerebral artery,posterior temporal branch of middle cerebral artery,artery,,brain,,,,,,,,,0,9,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,,fma50469,,Posterior temporal branch of middle cerebral artery,Posterior temporal branch of middle cerebral artery,fma50469,,,,posterior temporal branch of middle cerebral artery,posterior temporal branch of middle cerebral artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;posterior temporal branch of middle cerebral artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;posterior temporal branch of middle cerebral artery;Posterior temporal branch of middle cerebral artery;fma50469
middle cerebral artery,prefrontal artery,artery,,brain,,,,,,,,,0,3,,,,,https://en.wikipedia.org/wiki/Middle_cerebral_artery,https://en.wikipedia.org/wiki/Middle_cerebral_artery,,UBERON:0001637,,UBERON:0000955,,,,,fma50437,,Prefrontal artery,Prefrontal artery,fma50437,,,,prefrontal artery,prefrontal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;middle cerebral artery;prefrontal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;middle cerebral artery;middle cerebral artery;UBERON:0001627;prefrontal artery;Prefrontal artery;fma50437
internal carotid artery,ophthalmic artery,artery,,eye,,,,,,,,,0,2,VH_F_opthalmic_artery_L,VH_M_opthalmic_artery_L,,,https://en.wikipedia.org/wiki/Ophthalmic_artery,https://en.wikipedia.org/wiki/Ophthalmic_artery,,UBERON:0001637,,UBERON:0000970,,,,UBERON:0001619,fma49868,ophthalmic artery,Ophthalmic artery,ophthalmic artery,UBERON:0001619,,Ophthalmic artery,,ophthalmic artery,ophthalmic artery,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619
ophthalmic artery,anterior ciliary artery,artery,,eye,,,,,,,anterior ciliary vein,,0,5,,,,,https://en.wikipedia.org/wiki/Anterior_ciliary_arteries,https://en.wikipedia.org/wiki/Anterior_ciliary_arteries,,UBERON:0001637,,UBERON:0000970,,,,,fma49962,,Anterior ciliary artery,Anterior ciliary artery,fma49962,,Anterior ciliary arteries,,anterior ciliary artery,Anterior ciliary arteries;anterior ciliary artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ciliary artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;anterior ciliary artery;Anterior ciliary artery;fma49962
ophthalmic artery,anterior ethmoidal artery,artery,,face,,,,,,,,,0,6,,,,,https://en.wikipedia.org/wiki/Anterior_ethmoidal_artery,https://en.wikipedia.org/wiki/Anterior_ethmoidal_artery,,UBERON:0001637,,UBERON:0001456,,,,UBERON:0012318,fma49986,anterior ethmoidal artery,Anterior ethmoidal artery,anterior ethmoidal artery,UBERON:0012318,a. ethmoidalis anterior;arteria ethmoidalis anterior,Anterior ethmoidal artery,,anterior ethmoidal artery,a. ethmoidalis anterior;anterior ethmoidal artery;arteria ethmoidalis anterior,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ethmoidal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;anterior ethmoidal artery;anterior ethmoidal artery;UBERON:0012318
anterior ethmoidal artery,anterior meningeal artery,artery,,head,,,,,,,,,0,1,,,,,https://en.wikipedia.org/wiki/Anterior_ethmoidal_artery,https://en.wikipedia.org/wiki/Anterior_ethmoidal_artery,,UBERON:0001637,,UBERON:0000033,,,,UBERON:0010251,fma49993,anterior meningeal artery,Anterior meningeal branch of anterior ethmoidal artery,anterior meningeal artery,UBERON:0010251,ramus meningeus anterior (arteria ethmoidalis anterioris),Anterior meningeal branch of anterior ethmoidal artery,,anterior meningeal artery,anterior meningeal artery;Anterior meningeal branch of anterior ethmoidal artery;ramus meningeus anterior (arteria ethmoidalis anterioris),0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;anterior ethmoidal artery;anterior meningeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;anterior ethmoidal artery;anterior ethmoidal artery;UBERON:0012318;anterior meningeal artery;anterior meningeal artery;UBERON:0010251
ophthalmic artery,central retinal artery,artery,,eye,,,,,,,central retinal vein,,0,1,,,,,https://en.wikipedia.org/wiki/Central_retinal_artery,https://en.wikipedia.org/wiki/Central_retinal_artery,,UBERON:0001637,,UBERON:0000970,,,,UBERON:0001620,fma49879,central retinal artery,Central retinal artery,central retinal artery,UBERON:0001620,central artery of retina;retinal artery;Zinn's artery,Central retinal artery,,central retinal artery,central artery of retina;central retinal artery;retinal artery;Zinn's artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;central retinal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;central retinal artery;central retinal artery;UBERON:0001620
ophthalmic artery,dorsal nasal artery,artery,,face,,,,,,,,,0,8,,,,,https://en.wikipedia.org/wiki/Dorsal_nasal_artery,https://en.wikipedia.org/wiki/Dorsal_nasal_artery,,UBERON:0001637,,UBERON:0001456,,,,UBERON:0001623,fma50000,dorsal nasal artery,Dorsal nasal artery,dorsal nasal artery,UBERON:0001623,dorsal nasal branch of ophthalmic artery;external nasal artery,Dorsal nasal artery,,dorsal nasal artery,dorsal nasal artery;dorsal nasal branch of ophthalmic artery;external nasal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;dorsal nasal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;dorsal nasal artery;dorsal nasal artery;UBERON:0001623
ophthalmic artery,hyaloid artery,artery,,eye,,,,,,,,,0,999,,,,,https://en.wikipedia.org/wiki/Hyaloid_artery,https://en.wikipedia.org/wiki/Hyaloid_artery,,UBERON:0001637,,UBERON:0000970,,,,UBERON:0002270,fma77670,hyaloid artery,Hyaloid artery,hyaloid artery,UBERON:0002270,arteria hyaloidea,,,hyaloid artery,arteria hyaloidea;hyaloid artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;hyaloid artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;hyaloid artery;hyaloid artery;UBERON:0002270
ophthalmic artery,lacrimal artery,artery,,eye,,,,,,,lacrimal vein,,0,2,,,,,https://en.wikipedia.org/wiki/Lacrimal_artery,https://en.wikipedia.org/wiki/Lacrimal_artery,,UBERON:0001637,,UBERON:0000970,,,,UBERON:0001622,fma49927,lacrimal artery,Lacrimal artery,lacrimal artery,UBERON:0001622,,Lacrimal artery,,lacrimal artery,lacrimal artery,1,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;lacrimal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;lacrimal artery;lacrimal artery;UBERON:0001622
lacrimal artery,lateral palpebral artery,artery,,eye,,,,,,,,,0,1,,,,,https://en.wikipedia.org/wiki/Lateral_palpebral_arteries,https://en.wikipedia.org/wiki/Lateral_palpebral_arteries,,UBERON:0001637,,UBERON:0000970,,,,UBERON:0014772,fma49940,lateral palpebral artery,Lateral palpebral artery,lateral palpebral artery,UBERON:0014772,lateral palpebral branch of ophthalmic artery,Lateral palpebral arteries,,lateral palpebral artery,Lateral palpebral arteries;lateral palpebral artery;lateral palpebral branch of ophthalmic artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;lacrimal artery;lateral palpebral artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;lacrimal artery;lacrimal artery;UBERON:0001622;lateral palpebral artery;lateral palpebral artery;UBERON:0014772
lacrimal artery,recurrent meningeal artery,artery,,head,,,,,,,,,0,999,,,,,https://ranzcrpart1.fandom.com/wiki/Arterial_supply_to_brain:Ophthalmic_artery_and_branches,https://ranzcrpart1.fandom.com/wiki/Arterial_supply_to_brain:Ophthalmic_artery_and_branches,,UBERON:0001637,,UBERON:0000033,,,,,fma51965,,Recurrent meningeal branch of lacrimal artery,Recurrent meningeal branch of lacrimal artery,fma51965,Anastomotic branch of lacrimal artery with middle meningeal artery;Ramus anastomoticus cum arteria meningea media (Arteria lacrimalis),Recurrent meningeal branch of lacrimal artery,,recurrent meningeal artery,Anastomotic branch of lacrimal artery with middle meningeal artery;Ramus anastomoticus cum arteria meningea media (Arteria lacrimalis);recurrent meningeal artery;Recurrent meningeal branch of lacrimal artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;lacrimal artery;recurrent meningeal artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;lacrimal artery;lacrimal artery;UBERON:0001622;recurrent meningeal artery;Recurrent meningeal branch of lacrimal artery;fma51965
lacrimal artery,zygomaticofacial artery,artery,,head,,,,,,,,,0,999,,,,,https://ranzcrpart1.fandom.com/wiki/Arterial_supply_to_brain:Ophthalmic_artery_and_branches,https://ranzcrpart1.fandom.com/wiki/Arterial_supply_to_brain:Ophthalmic_artery_and_branches,,UBERON:0001637,,UBERON:0000033,,,,,,,,,,,,,zygomaticofacial artery,zygomaticofacial artery,0,,0,2,left common carotid artery;right common carotid artery,left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;internal carotid artery;ophthalmic artery;lacrimal artery;zygomaticofacial artery,left ventricle;heart left ventricle;UBERON:0002084;aorta;aorta;UBERON:0000947;ascending aorta;ascending aorta;UBERON:0001496;aortic arch;arch of aorta;UBERON:0001508;common carotid artery;common carotid artery plus branches;UBERON:0001530;internal carotid artery;internal carotid artery;UBERON:0001532;ophthalmic artery;ophthalmic artery;UBERON:0001619;lacrimal artery;lacrimal artery;UBERON:0001622;zygomaticofacial artery;;
